Graduation,Major,International,Affiliated,Varsity,NumberClubs,Academic,Cultural,Sports,MusicArts,Awareness,CommunityService,Religious,Paid,Greek,Other,Type
2022,CBC- Chemistry & Biochemistry,0,1,0,3,0,0,0,0,1,1,0,0,1,0,"Awareness (Green team, Alliance, political clubs, etc.), Community Service (CAC, Habitat, etc.), Greek Life (Fraternity or Sorority)"
2023,CBC- Chemistry & Biochemistry,0,1,0,2,0,0,1,0,0,0,0,0,1,0,"Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Greek Life (Fraternity or Sorority)"
2020,BME- Biomedical Engineering,0,1,0,3,1,0,0,1,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Music and Arts (Pep band, acappella, Vox, etc.), Greek Life (Fraternity or Sorority)"
2022,CS- Computer Science,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Greek Life (Fraternity or Sorority)
2020,"AE- Architectural Engineering, FPE- Fire Protection Engineering",0,1,0,2,0,0,0,0,0,0,0,1,1,0,"Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority)"
2023,AERO- Aerospace Engineering,0,1,1,5,1,0,0,0,0,0,0,1,1,1,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2021,ME- Mechanical Engineering,0,1,0,2,0,0,0,0,0,1,0,0,1,0,"Community Service (CAC, Habitat, etc.), Greek Life (Fraternity or Sorority)"
2020,ME- Mechanical Engineering,0,1,0,4,0,0,1,0,0,0,1,0,1,0,"Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Religious (CBF, Muslim Student Association, etc.), Greek Life (Fraternity or Sorority)"
2022,BME- Biomedical Engineering,0,1,0,4,0,0,0,0,0,1,0,0,1,1,"Community Service (CAC, Habitat, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2020,ME- Mechanical Engineering,0,1,0,4,1,0,0,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Greek Life (Fraternity or Sorority)"
2022,AERO- Aerospace Engineering,0,1,0,3,1,0,1,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Greek Life (Fraternity or Sorority)"
2021,AE- Architectural Engineering,0,1,0,3,0,0,1,0,0,0,0,1,1,0,"Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority)"
2021,ECE- Electrical & Computer Engineering,0,1,0,2,0,0,0,0,0,0,0,0,1,1,"Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2020,"CS- Computer Science, ME- Mechanical Engineering",0,1,0,3,0,0,0,0,0,0,1,0,1,1,"Religious (CBF, Muslim Student Association, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2020,CS- Computer Science,0,1,0,2,1,0,0,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Greek Life (Fraternity or Sorority)"
2020,CS- Computer Science,0,0,0,4,0,0,0,1,0,0,0,0,0,1,"Music and Arts (Pep band, acappella, Vox, etc.), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2021,CS- Computer Science,0,1,0,3,1,1,0,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Cultural (International Student Council, BSU, KSA, etc.), Greek Life (Fraternity or Sorority)"
2022,CS- Computer Science,0,1,0,1,0,0,1,0,0,0,0,0,1,0,"Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Greek Life (Fraternity or Sorority)"
2020,CS- Computer Science,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.)"
2022,CHE- Chemical Engineering,0,1,0,2,1,0,0,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Greek Life (Fraternity or Sorority)"
2020,CS- Computer Science,0,0,0,3,1,0,0,0,0,0,0,1,0,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Paid Involvement (Crimson Key, RA, CA, etc.)"
2022,DS- Data Science,0,1,0,2,0,0,1,0,0,0,0,0,1,0,"Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Greek Life (Fraternity or Sorority)"
2020,CS- Computer Science,0,0,0,2,0,0,0,1,0,0,0,0,0,1,"Music and Arts (Pep band, acappella, Vox, etc.), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2023,CS- Computer Science,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"Cultural (International Student Council, BSU, KSA, etc.)"
2023,"Learning Sciences and Technologies- (I'm a grad student, so technically my grad year isn't on your list, should be 2025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2022,AERO- Aerospace Engineering,0,0,0,5,1,0,1,0,0,0,0,1,0,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Paid Involvement (Crimson Key, RA, CA, etc.)"
2020,CS- Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2020,CHE- Chemical Engineering,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Greek Life (Fraternity or Sorority)
2020,CS- Computer Science,0,0,0,5,1,0,1,0,0,0,0,1,0,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Paid Involvement (Crimson Key, RA, CA, etc.)"
2021,CHE- Chemical Engineering,0,1,0,5,1,0,0,0,0,0,0,1,1,1,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2021,BME- Biomedical Engineering,0,1,0,6,1,0,0,0,0,1,1,1,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Community Service (CAC, Habitat, etc.), Religious (CBF, Muslim Student Association, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority)"
2022,MGE- Management Engineering,1,0,0,3,0,1,1,0,0,0,0,1,0,1,"Cultural (International Student Council, BSU, KSA, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2020,"CS- Computer Science, RBE- Robotics Engineering",0,0,0,4,1,0,1,0,1,1,0,0,0,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Awareness (Green team, Alliance, political clubs, etc.), Community Service (CAC, Habitat, etc.)"
2023,ME- Mechanical Engineering,0,1,0,4,0,0,0,1,0,0,0,0,1,0,"Music and Arts (Pep band, acappella, Vox, etc.), Greek Life (Fraternity or Sorority)"
2023,ME- Mechanical Engineering,0,1,0,4,0,0,0,1,0,0,0,0,1,0,"Music and Arts (Pep band, acappella, Vox, etc.), Greek Life (Fraternity or Sorority)"
